configuration_id,block,dataset,residual_norm,attn_update_norm,attn_ratio,cos_attn,after_attn_norm,ffn_update_norm,ffn_ratio,cos_ffn,after_ffn_norm,attn_overwrite,ffn_overwrite
L19_SEED_2,2,MARGIN_DEVELOPMENT_V1,1.86322,0.251636,0.135054,0.309824,1.96779,1.04637,0.531748,0.687442,2.8289,false,false
L19_SEED_2,3,MARGIN_DEVELOPMENT_V1,2.8289,0.306319,0.108282,0.273136,2.93697,1.14568,0.390089,0.750377,3.91096,false,false
L19_SEED_2,4,MARGIN_DEVELOPMENT_V1,3.91096,0.304545,0.0778697,0.275024,4.01033,1.21768,0.303637,0.787507,5.02931,false,false
L19_SEED_2,5,MARGIN_DEVELOPMENT_V1,5.02931,0.475053,0.0944568,0.31812,5.22773,1.40652,0.269049,0.752073,6.36727,false,false
L19_SEED_2,6,MARGIN_DEVELOPMENT_V1,6.36727,0.549766,0.0863426,0.299831,6.55971,1.70345,0.259684,0.793246,8.00303,false,false
L19_SEED_2,7,MARGIN_DEVELOPMENT_V1,8.00303,0.711102,0.0888541,0.256087,8.25268,1.46315,0.177293,0.752638,9.44642,false,false
L19_SEED_2,8,MARGIN_DEVELOPMENT_V1,9.44642,0.733754,0.0776753,0.304307,9.69852,1.80086,0.185684,0.74567,11.1058,false,false
L19_SEED_2,9,MARGIN_DEVELOPMENT_V1,11.1058,0.633424,0.0570357,0.495483,11.4366,1.73662,0.151848,0.821181,12.9298,false,false
L19_SEED_2,10,MARGIN_DEVELOPMENT_V1,12.9298,0.783156,0.0605701,0.442518,13.2968,1.30786,0.0983587,0.799697,14.386,false,false
L19_SEED_2,11,MARGIN_DEVELOPMENT_V1,14.386,1.12272,0.0780428,0.263712,14.7191,1.68243,0.114302,0.695034,15.9975,false,false
L19_SEED_2,12,MARGIN_DEVELOPMENT_V1,15.9975,0.857586,0.0536076,0.413115,16.4404,2.4203,0.147217,0.76859,18.4176,false,false
L19_SEED_2,13,MARGIN_DEVELOPMENT_V1,18.4176,0.930605,0.050528,0.368986,18.8172,2.21237,0.117572,0.861807,20.7689,false,false
L19_SEED_2,14,MARGIN_DEVELOPMENT_V1,20.7689,1.40496,0.0676473,0.381294,21.4203,2.28315,0.106588,0.715458,23.196,false,false
L19_SEED_2,15,MARGIN_DEVELOPMENT_V1,23.196,1.24535,0.053688,0.466899,23.8852,2.50158,0.104733,0.741004,25.8154,false,false
L19_SEED_2,16,MARGIN_DEVELOPMENT_V1,25.8154,1.60796,0.0622868,0.37988,26.5604,2.49199,0.0938235,0.791691,28.6305,false,false
L19_SEED_2,17,MARGIN_DEVELOPMENT_V1,28.6305,1.58127,0.0552302,0.509564,29.5653,2.50153,0.0846104,0.724985,31.4709,false,false
L19_SEED_2,18,MARGIN_DEVELOPMENT_V1,31.4709,2.16279,0.0687235,0.437392,32.6772,1.66113,0.0508345,0.795251,34.0235,false,false
L19_SEED_4,0,MARGIN_DEVELOPMENT_V1,0.539152,0.272219,0.504903,0.102971,0.643362,0.76326,1.18636,0.568257,1.25655,false,false
L19_SEED_4,1,MARGIN_DEVELOPMENT_V1,1.25655,0.209948,0.167083,0.338737,1.34311,1.05661,0.786691,0.67019,2.20099,false,false
L19_SEED_4,2,MARGIN_DEVELOPMENT_V1,2.20099,0.375109,0.170428,0.29887,2.34628,1.19851,0.510815,0.71373,3.31442,false,false
L19_SEED_4,3,MARGIN_DEVELOPMENT_V1,3.31442,0.250774,0.0756614,0.303707,3.39846,1.19549,0.351773,0.731023,4.35414,false,false
L19_SEED_4,4,MARGIN_DEVELOPMENT_V1,4.35414,0.385262,0.0884818,0.449923,4.55184,1.48539,0.326328,0.77773,5.82645,false,false
L19_SEED_4,5,MARGIN_DEVELOPMENT_V1,5.82645,0.498775,0.0856053,0.470217,6.08292,1.23783,0.203493,0.77555,7.09834,false,false
L19_SEED_4,6,MARGIN_DEVELOPMENT_V1,7.09834,0.539049,0.0759402,0.435641,7.35188,1.13816,0.154812,0.731155,8.22995,false,false
L19_SEED_4,7,MARGIN_DEVELOPMENT_V1,8.22995,0.388278,0.0471787,0.41633,8.40262,1.36367,0.162291,0.78996,9.54007,false,false
L19_SEED_4,8,MARGIN_DEVELOPMENT_V1,9.54007,0.546013,0.0572337,0.294296,9.73446,1.5182,0.155962,0.77901,10.9932,false,false
L19_SEED_4,9,MARGIN_DEVELOPMENT_V1,10.9932,0.735852,0.0669371,0.44598,11.36,1.78667,0.157277,0.761978,12.7793,false,false
L19_SEED_4,10,MARGIN_DEVELOPMENT_V1,12.7793,0.932219,0.0729474,0.438712,13.2134,1.85874,0.14067,0.791744,14.7707,false,false
L19_SEED_4,11,MARGIN_DEVELOPMENT_V1,14.7707,1.29773,0.0878585,0.26022,15.1967,1.94029,0.127678,0.757468,16.7316,false,false
L19_SEED_4,12,MARGIN_DEVELOPMENT_V1,16.7316,1.18799,0.0710028,0.494307,17.374,2.4509,0.141067,0.768144,19.331,false,false
L19_SEED_4,13,MARGIN_DEVELOPMENT_V1,19.331,1.27128,0.0657639,0.50628,20.0215,1.50141,0.0749899,0.799545,21.2576,false,false
L19_SEED_4,14,MARGIN_DEVELOPMENT_V1,21.2576,1.07433,0.0505385,0.503963,21.8395,2.29054,0.10488,0.769571,23.6832,false,false
L19_SEED_4,15,MARGIN_DEVELOPMENT_V1,23.6832,1.66075,0.0701234,0.39327,24.4034,2.1408,0.0877253,0.785531,26.1384,false,false
L19_SEED_4,16,MARGIN_DEVELOPMENT_V1,26.1384,1.74882,0.0669059,0.553275,27.145,1.88196,0.06933,0.799648,28.68,false,false
L19_SEED_4,17,MARGIN_DEVELOPMENT_V1,28.68,1.74195,0.0607374,0.477082,29.6589,2.53296,0.0854032,0.757924,31.6532,false,false
L19_SEED_4,18,MARGIN_DEVELOPMENT_V1,31.6532,1.15833,0.0365944,0.600906,32.3816,1.44291,0.0445595,0.768225,33.5165,false,false
L18_SEED_2_CONTROL,0,MARGIN_DEVELOPMENT_V1,0.530789,0.21964,0.413799,0.197469,0.616941,0.802376,1.30057,0.448235,1.2327,false,false
L18_SEED_2_CONTROL,1,MARGIN_DEVELOPMENT_V1,1.2327,0.251425,0.203963,0.309133,1.33542,0.962249,0.72056,0.640158,2.10721,false,false
L18_SEED_2_CONTROL,2,MARGIN_DEVELOPMENT_V1,2.10721,0.249764,0.118529,0.226241,2.19028,1.11482,0.508987,0.728383,3.12323,false,false
L18_SEED_2_CONTROL,3,MARGIN_DEVELOPMENT_V1,3.12323,0.358643,0.114831,0.362104,3.28252,1.28793,0.392361,0.762942,4.36764,false,false
L18_SEED_2_CONTROL,4,MARGIN_DEVELOPMENT_V1,4.36764,0.382349,0.0875413,0.327869,4.51394,1.09048,0.24158,0.796768,5.42502,false,false
L18_SEED_2_CONTROL,5,MARGIN_DEVELOPMENT_V1,5.42502,0.541012,0.0997254,0.28465,5.63509,1.45659,0.258485,0.818248,6.88536,false,false
L18_SEED_2_CONTROL,6,MARGIN_DEVELOPMENT_V1,6.88536,0.697116,0.101246,0.307639,7.13866,1.76733,0.247572,0.775947,8.60831,false,false
L18_SEED_2_CONTROL,7,MARGIN_DEVELOPMENT_V1,8.60831,0.688438,0.0799736,0.264247,8.84813,1.54046,0.1741,0.727677,10.0834,false,false
L18_SEED_2_CONTROL,8,MARGIN_DEVELOPMENT_V1,10.0834,0.722335,0.0716358,0.284622,10.3452,1.94026,0.187553,0.743766,11.8684,false,false
L18_SEED_2_CONTROL,9,MARGIN_DEVELOPMENT_V1,11.8684,0.580216,0.0488873,0.373433,12.1029,1.58775,0.131188,0.825431,13.4503,false,false
L18_SEED_2_CONTROL,10,MARGIN_DEVELOPMENT_V1,13.4503,0.727265,0.0540704,0.408318,13.7723,1.52768,0.110924,0.822618,15.0843,false,false
L18_SEED_2_CONTROL,11,MARGIN_DEVELOPMENT_V1,15.0843,0.94808,0.0628521,0.286667,15.403,1.72276,0.111846,0.682799,16.6928,false,false
L18_SEED_2_CONTROL,12,MARGIN_DEVELOPMENT_V1,16.6928,0.85041,0.0509447,0.380371,17.1142,2.30785,0.13485,0.764213,18.9801,false,false
L18_SEED_2_CONTROL,13,MARGIN_DEVELOPMENT_V1,18.9801,1.04451,0.0550316,0.343885,19.4279,2.09171,0.107665,0.851458,21.2443,false,false
L18_SEED_2_CONTROL,14,MARGIN_DEVELOPMENT_V1,21.2443,1.2774,0.0601292,0.395955,21.8614,2.25809,0.103291,0.717858,23.6451,false,false
L18_SEED_2_CONTROL,15,MARGIN_DEVELOPMENT_V1,23.6451,1.4069,0.0595006,0.433497,24.3797,2.70314,0.110877,0.790347,26.5725,false,false
L18_SEED_2_CONTROL,16,MARGIN_DEVELOPMENT_V1,26.5725,1.58234,0.0595482,0.412811,27.3365,2.58633,0.0946109,0.766263,29.4494,false,false
L18_SEED_2_CONTROL,17,MARGIN_DEVELOPMENT_V1,29.4494,1.90342,0.0646336,0.525867,30.5914,3.02567,0.0989059,0.712031,32.8709,false,false
