"configuration","case_id","seed","pattern","prefix","expected_sequence","generated_sequence","exact","first_mismatch_step","expected_token","predicted_token","top3"
"heads","s1_p3","1","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"heads","s2_p0","2","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"heads","s2_p1","2","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"heads","s2_p2","2","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"heads","s2_p3","2","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"heads","s3_p0","3","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"heads","s3_p1","3","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"heads","s3_p2","3","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"heads","s3_p3","3","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"heads","s4_p0","4","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"heads","s4_p1","4","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"heads","s4_p2","4","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"heads","s4_p3","4","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"heads","s5_p0","5","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"heads","s5_p1","5","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"heads","s5_p2","5","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"heads","s5_p3","5","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"combined","s1_p0","1","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"combined","s1_p1","1","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"combined","s1_p2","1","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"combined","s1_p3","1","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10","11,12,10,11,12,10,11,12","11,12,10,11,12,10,11,12","true","-1","NONE","NONE","NONE"
"combined","s2_p0","2","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"combined","s2_p1","2","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"combined","s2_p2","2","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"combined","s2_p3","2","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10","11,12,10,11,12,10,11,12","11,12,10,11,12,10,11,12","true","-1","NONE","NONE","NONE"
"combined","s3_p0","3","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"combined","s3_p1","3","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"combined","s3_p2","3","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"combined","s3_p3","3","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10","11,12,10,11,12,10,11,12","11,12,10,11,12,10,11,12","true","-1","NONE","NONE","NONE"
"combined","s4_p0","4","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"combined","s4_p1","4","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"combined","s4_p2","4","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"combined","s4_p3","4","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10","11,12,10,11,12,10,11,12","11,12,10,11,12,10,11,12","true","-1","NONE","NONE","NONE"
"combined","s5_p0","5","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"combined","s5_p1","5","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"combined","s5_p2","5","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"combined","s5_p3","5","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10","11,12,10,11,12,10,11,12","11,12,10,11,12,10,11,12","true","-1","NONE","NONE","NONE"
"width","s1_p0","1","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"width","s1_p1","1","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"width","s1_p2","1","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"width","s1_p3","1","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10","11,12,10,11,12,10,11,12","11,12,10,11,12,10,11,12","true","-1","NONE","NONE","NONE"
"width","s2_p0","2","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"width","s2_p1","2","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"width","s2_p2","2","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"width","s2_p3","2","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10","11,12,10,11,12,10,11,12","11,12,10,11,12,10,11,12","true","-1","NONE","NONE","NONE"
"width","s3_p0","3","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"width","s3_p1","3","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"width","s3_p2","3","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"width","s3_p3","3","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10","11,12,10,11,12,10,11,12","11,12,10,11,12,10,11,12","true","-1","NONE","NONE","NONE"
"width","s4_p0","4","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"width","s4_p1","4","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"width","s4_p2","4","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"width","s4_p3","4","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10","11,12,10,11,12,10,11,12","11,12,10,11,12,10,11,12","true","-1","NONE","NONE","NONE"
"width","s5_p0","5","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"width","s5_p1","5","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"width","s5_p2","5","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"width","s5_p3","5","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10","11,12,10,11,12,10,11,12","11,12,10,11,12,10,11,12","true","-1","NONE","NONE","NONE"
