"creation_index","name","op","inputs","outputs","rank","dims","dtype","tensor_type","exposure","variant_membership"
"21","tt_project","QNN_OP_MAT_MUL","context;wo","projected","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"22","tt_res1","QNN_OP_ELEMENT_WISE_ADD","embedded_input;projected","residual1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"23","tt_ln2_mean","QNN_OP_REDUCE_MEAN","residual1;last_axis","mean2","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"24","tt_ln2_center","QNN_OP_ELEMENT_WISE_SUBTRACT","residual1;mean2","centered2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"25","tt_ln2_center_scale","QNN_OP_ELEMENT_WISE_MULTIPLY","centered2;center_scale","centered_s2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"26","tt_ln2_square","QNN_OP_ELEMENT_WISE_MULTIPLY","centered_s2;centered_s2","square2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"27","tt_ln2_var","QNN_OP_REDUCE_MEAN","square2;last_axis","var2","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"28","tt_ln2_eps","QNN_OP_ELEMENT_WISE_ADD","var2;eps_scaled","var_eps2","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"29","tt_ln2_rsqrt","QNN_OP_ELEMENT_WISE_RSQRT","var_eps2","inv_std_s2","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"30","tt_ln2_unscale","QNN_OP_ELEMENT_WISE_MULTIPLY","inv_std_s2;center_scale","inv_std2","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"31","tt_ln2_xhat","QNN_OP_ELEMENT_WISE_MULTIPLY","centered2;inv_std2","xhat2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"32","tt_ln2_gamma","QNN_OP_ELEMENT_WISE_MULTIPLY","xhat2;gamma2","xhat_g2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"33","tt_ln2_beta","QNN_OP_ELEMENT_WISE_ADD","xhat_g2;beta2","ln2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"34","tt_ff1","QNN_OP_MAT_MUL","ln2;w1","ff1","2","8x32","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"35","tt_relu","QNN_OP_RELU","ff1","relu","2","8x32","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"36","tt_ff2","QNN_OP_MAT_MUL","relu;w2","ff2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"37","tt_out","QNN_OP_ELEMENT_WISE_ADD","residual1;ff2","output","2","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"38","lm_logits","QNN_OP_MAT_MUL","output;output_projection","logits","2","8x32","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"39","lm_softmax","QNN_OP_SOFTMAX","logits","lm_probabilities","2","8x32","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"40","lm_difference","QNN_OP_ELEMENT_WISE_SUBTRACT","lm_probabilities;target","lm_difference","2","8x32","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"41","lm_dlogits","QNN_OP_ELEMENT_WISE_MULTIPLY","lm_difference;grad_scale","dlogits","2","8x32","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"42","lm_doutput","QNN_OP_MAT_MUL","dlogits;output_projection","doutput","2","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"43","lm_doutput_projection","QNN_OP_MAT_MUL","output;dlogits","output_projection_gradient","2","16x32","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"44","tt_dw2","QNN_OP_MAT_MUL","relu;doutput","gradient_w2","2","32x16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"45","tt_drelu","QNN_OP_MAT_MUL","doutput;w2","drelu","2","8x32","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"46","tt_relu_mask","QNN_OP_ELEMENT_WISE_GREATER","ff1;zero_ff","relu_mask","2","8x32","BOOL8","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"47","tt_relu_bwd","QNN_OP_ELEMENT_WISE_SELECT","relu_mask;drelu;zero_ff","dff1","2","8x32","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"48","tt_dw1","QNN_OP_MAT_MUL","ln2;dff1","gradient_w1","2","16x32","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"49","tt_dln2","QNN_OP_MAT_MUL","dff1;w1","dln2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"50","tt_lnb2_dxhat","QNN_OP_ELEMENT_WISE_MULTIPLY","dln2;gamma2","dxhat2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"51","tt_lnb2_sum","QNN_OP_REDUCE_SUM","dxhat2;last_axis","sum_dxhat2","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"52","tt_lnb2_prod","QNN_OP_ELEMENT_WISE_MULTIPLY","dxhat2;xhat2","dxhat_xhat2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"53","tt_lnb2_sumprod","QNN_OP_REDUCE_SUM","dxhat_xhat2;last_axis","sum_dxhat_xhat2","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"54","tt_lnb2_ddx","QNN_OP_ELEMENT_WISE_MULTIPLY","dxhat2;dimension","d_times_dxhat2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"55","tt_lnb2_first","QNN_OP_ELEMENT_WISE_SUBTRACT","d_times_dxhat2;sum_dxhat2","first_diff2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"56","tt_lnb2_xsum","QNN_OP_ELEMENT_WISE_MULTIPLY","xhat2;sum_dxhat_xhat2","xhat_times_sum2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"57","tt_lnb2_bracket","QNN_OP_ELEMENT_WISE_SUBTRACT","first_diff2;xhat_times_sum2","bracket2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"58","tt_lnb2_invd","QNN_OP_ELEMENT_WISE_MULTIPLY","inv_std2;inv_dimension","inv_std_over_d2","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"59","tt_lnb2_dx","QNN_OP_ELEMENT_WISE_MULTIPLY","bracket2;inv_std_over_d2","dresidual1_ln","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"60","tt_lnb2_dyx","QNN_OP_ELEMENT_WISE_MULTIPLY","dln2;xhat2","dy_xhat2","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"61","tt_lnb2_dg","QNN_OP_REDUCE_SUM","dy_xhat2;row_axis","gradient_gamma2","1","16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"62","tt_lnb2_db","QNN_OP_REDUCE_SUM","dln2;row_axis","gradient_beta2","1","16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"63","tt_dres1","QNN_OP_ELEMENT_WISE_ADD","doutput;dresidual1_ln","dresidual1","2","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","BACKWARD_REGIONS tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"64","tt_dwo","QNN_OP_MAT_MUL","context;dresidual1","gradient_wo","2","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"65","tt_dcontext","QNN_OP_MAT_MUL","dresidual1;wo","dcontext","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"66","tt_dp","QNN_OP_MAT_MUL","dcontext;v","dprobabilities","2","8x8","FLOAT32","variant-dependent APP_READ/NATIVE","DPROB_DSCORES tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"67","tt_dv","QNN_OP_MAT_MUL","probabilities;dcontext","dv","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"68","tt_smp","QNN_OP_ELEMENT_WISE_MULTIPLY","dprobabilities;probabilities","softmax_product","2","8x8","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"69","tt_smd","QNN_OP_REDUCE_SUM","softmax_product;last_axis","softmax_dot","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"70","tt_smc","QNN_OP_ELEMENT_WISE_SUBTRACT","dprobabilities;softmax_dot","softmax_centered","2","8x8","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"71","tt_ds","QNN_OP_ELEMENT_WISE_MULTIPLY","probabilities;softmax_centered","dscores","2","8x8","FLOAT32","variant-dependent APP_READ/NATIVE","DSCORES_ONLY|DPROB_DSCORES|BACKWARD_REGIONS tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"72","tt_dqr","QNN_OP_MAT_MUL","dscores;k","dq_raw","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"73","tt_dkr","QNN_OP_MAT_MUL","dscores;q","dk_raw","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"74","tt_dq","QNN_OP_ELEMENT_WISE_MULTIPLY","dq_raw;scale","dq","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"75","tt_dk","QNN_OP_ELEMENT_WISE_MULTIPLY","dk_raw;scale","dk","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"76","tt_dwq","QNN_OP_MAT_MUL","ln1;dq","gradient_wq","2","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"77","tt_dwk","QNN_OP_MAT_MUL","ln1;dk","gradient_wk","2","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"78","tt_dwv","QNN_OP_MAT_MUL","ln1;dv","gradient_wv","2","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"79","tt_dlq","QNN_OP_MAT_MUL","dq;wq","dln1_q","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"80","tt_dlk","QNN_OP_MAT_MUL","dk;wk","dln1_k","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"81","tt_dlv","QNN_OP_MAT_MUL","dv;wv","dln1_v","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"82","tt_dlqk","QNN_OP_ELEMENT_WISE_ADD","dln1_q;dln1_k","dln1_qk","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"83","tt_dln1","QNN_OP_ELEMENT_WISE_ADD","dln1_qk;dln1_v","dln1","2","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","BACKWARD_REGIONS|LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"84","tt_lnb1_dxhat","QNN_OP_ELEMENT_WISE_MULTIPLY","dln1;gamma1","dxhat1","2","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"85","tt_lnb1_sum","QNN_OP_REDUCE_SUM","dxhat1;last_axis","sum_dxhat1","2","8x1","FLOAT32","variant-dependent APP_READ/NATIVE","LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"86","tt_lnb1_prod","QNN_OP_ELEMENT_WISE_MULTIPLY","dxhat1;xhat1","dxhat_xhat1","2","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"87","tt_lnb1_sumprod","QNN_OP_REDUCE_SUM","dxhat_xhat1;last_axis","sum_dxhat_xhat1","2","8x1","FLOAT32","variant-dependent APP_READ/NATIVE","LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"88","tt_lnb1_ddx","QNN_OP_ELEMENT_WISE_MULTIPLY","dxhat1;dimension","d_times_dxhat1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"89","tt_lnb1_first","QNN_OP_ELEMENT_WISE_SUBTRACT","d_times_dxhat1;sum_dxhat1","first_diff1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"90","tt_lnb1_xsum","QNN_OP_ELEMENT_WISE_MULTIPLY","xhat1;sum_dxhat_xhat1","xhat_times_sum1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"91","tt_lnb1_bracket","QNN_OP_ELEMENT_WISE_SUBTRACT","first_diff1;xhat_times_sum1","bracket1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"92","tt_lnb1_invd","QNN_OP_ELEMENT_WISE_MULTIPLY","inv_std1;inv_dimension","inv_std_over_d1","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"93","tt_lnb1_dx","QNN_OP_ELEMENT_WISE_MULTIPLY","bracket1;inv_std_over_d1","dinput_norm","2","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","BACKWARD_REGIONS|LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"94","tt_lnb1_dyx","QNN_OP_ELEMENT_WISE_MULTIPLY","dln1;xhat1","dy_xhat1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"95","tt_lnb1_dg","QNN_OP_REDUCE_SUM","dy_xhat1;row_axis","gradient_gamma1","1","16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"96","tt_lnb1_db","QNN_OP_REDUCE_SUM","dln1;row_axis","gradient_beta1","1","16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"97","lm_dinput","QNN_OP_ELEMENT_WISE_ADD","dresidual1;dinput_norm","embedding_input_gradient","2","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","FULL:APP_READ when diagnostics; STOP*:APP_READ","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"98","lm_dembedding","QNN_OP_MAT_MUL","one_hot;embedding_input_gradient","token_embedding_gradient","2","32x16","FLOAT32","variant-dependent APP_READ/NATIVE","FULL:APP_READ when diagnostics; STOP_AFTER_DEMBEDDING:APP_READ; STOP_AFTER_DINPUT:NATIVE","FULL|STOP_AFTER_DEMBEDDING"
"99","tt_g1_scale","QNN_OP_ELEMENT_WISE_MULTIPLY","gradient_gamma1;learning_rate","s_dg1","1","16","FLOAT32","NATIVE","NATIVE (all variants)","FULL"
"100","tt_g1_next","QNN_OP_ELEMENT_WISE_SUBTRACT","gamma1;s_dg1","n_g1","1","16","FLOAT32","variant-dependent APP_READ/NATIVE","FULL:APP_READ; STOP*:NATIVE","FULL"
"101","tt_b1_scale","QNN_OP_ELEMENT_WISE_MULTIPLY","gradient_beta1;learning_rate","s_db1","1","16","FLOAT32","NATIVE","NATIVE (all variants)","FULL"
"102","tt_b1_next","QNN_OP_ELEMENT_WISE_SUBTRACT","beta1;s_db1","n_b1","1","16","FLOAT32","variant-dependent APP_READ/NATIVE","FULL:APP_READ; STOP*:NATIVE","FULL"
"103","tt_wq_scale","QNN_OP_ELEMENT_WISE_MULTIPLY","gradient_wq;learning_rate","s_dwq","2","16x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL"
"104","tt_wq_next","QNN_OP_ELEMENT_WISE_SUBTRACT","wq;s_dwq","n_wq","2","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","FULL:APP_READ; STOP*:NATIVE","FULL"
"105","tt_wk_scale","QNN_OP_ELEMENT_WISE_MULTIPLY","gradient_wk;learning_rate","s_dwk","2","16x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL"
"106","tt_wk_next","QNN_OP_ELEMENT_WISE_SUBTRACT","wk;s_dwk","n_wk","2","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","FULL:APP_READ; STOP*:NATIVE","FULL"
"107","tt_wv_scale","QNN_OP_ELEMENT_WISE_MULTIPLY","gradient_wv;learning_rate","s_dwv","2","16x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL"
"108","tt_wv_next","QNN_OP_ELEMENT_WISE_SUBTRACT","wv;s_dwv","n_wv","2","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","FULL:APP_READ; STOP*:NATIVE","FULL"
"109","tt_wo_scale","QNN_OP_ELEMENT_WISE_MULTIPLY","gradient_wo;learning_rate","s_dwo","2","16x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL"
"110","tt_wo_next","QNN_OP_ELEMENT_WISE_SUBTRACT","wo;s_dwo","n_wo","2","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","FULL:APP_READ; STOP*:NATIVE","FULL"
"111","tt_g2_scale","QNN_OP_ELEMENT_WISE_MULTIPLY","gradient_gamma2;learning_rate","s_dg2","1","16","FLOAT32","NATIVE","NATIVE (all variants)","FULL"
"112","tt_g2_next","QNN_OP_ELEMENT_WISE_SUBTRACT","gamma2;s_dg2","n_g2","1","16","FLOAT32","variant-dependent APP_READ/NATIVE","FULL:APP_READ; STOP*:NATIVE","FULL"
"113","tt_b2_scale","QNN_OP_ELEMENT_WISE_MULTIPLY","gradient_beta2;learning_rate","s_db2","1","16","FLOAT32","NATIVE","NATIVE (all variants)","FULL"
"114","tt_b2_next","QNN_OP_ELEMENT_WISE_SUBTRACT","beta2;s_db2","n_b2","1","16","FLOAT32","variant-dependent APP_READ/NATIVE","FULL:APP_READ; STOP*:NATIVE","FULL"
