"creation_index","name","producer","consumers","logical_role","shape","dtype","memory_type","io_classification","exposure","variant_membership"
"10","w1","source_tensor","tt_ff1;tt_dln2;tt_w1_next","w1 intermediate tensor","16x32","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"11","w2","source_tensor","tt_ff2;tt_drelu;tt_w2_next","w2 intermediate tensor","32x16","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"12","learning_rate","source_tensor","tt_g1_scale;tt_b1_scale;tt_wq_scale;tt_wk_scale;tt_wv_scale;tt_wo_scale;tt_g2_scale;tt_b2_scale;tt_w1_scale;tt_w2_scale;lm_embedding_scale;lm_output_projection_scale","learning-rate scalar","1x1","FLOAT32","variant-dependent APP_WRITE/NATIVE","graph_input in FULL; internal otherwise","FULL:APP_WRITE; STOP*:NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"13","mask","source_tensor","tt_mask_scores","static causal attention mask","8x8","FLOAT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"14","scale","source_tensor","tt_scale_scores;tt_dq;tt_dk","attention scale","1x1","FLOAT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"15","last_axis","source_tensor","tt_ln1_mean;tt_ln1_var;tt_ln2_mean;tt_ln2_var;tt_lnb2_sum;tt_lnb2_sumprod;tt_smd;tt_lnb1_sum;tt_lnb1_sumprod","last-axis reduction indices","1","UINT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"16","row_axis","source_tensor","tt_lnb2_dg;tt_lnb2_db;tt_lnb1_dg;tt_lnb1_db","row-axis reduction indices","1","UINT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"17","all_axes","source_tensor","","all-axis reduction indices","2","UINT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"18","eps_scaled","source_tensor","tt_ln1_eps;tt_ln2_eps","scaled LayerNorm epsilon","1x1","FLOAT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"19","center_scale","source_tensor","tt_ln1_center_scale;tt_ln1_unscale;tt_ln2_center_scale;tt_ln2_unscale","LayerNorm centering scale","1x1","FLOAT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"20","dimension","source_tensor","tt_lnb2_ddx;tt_lnb1_ddx","model dimension scalar","1x1","FLOAT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"21","inv_dimension","source_tensor","tt_lnb2_invd;tt_lnb1_invd","inverse model dimension scalar","1x1","FLOAT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"22","grad_scale","source_tensor","lm_dlogits","loss-gradient scale","1x1","FLOAT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"23","zero_ff","source_tensor","tt_relu_mask;tt_relu_bwd","static FFN zero tensor","8x32","FLOAT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"24","mean1","tt_ln1_mean","tt_ln1_center","LayerNorm1 forward mean","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"25","centered1","tt_ln1_center","tt_ln1_center_scale;tt_ln1_xhat","centered1 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"26","centered_s1","tt_ln1_center_scale","tt_ln1_square;tt_ln1_square","centered s1 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"27","square1","tt_ln1_square","tt_ln1_var","square1 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"28","var1","tt_ln1_var","tt_ln1_eps","LayerNorm1 forward variance","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"29","var_eps1","tt_ln1_eps","tt_ln1_rsqrt","var eps1 intermediate tensor","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"30","inv_std_s1","tt_ln1_rsqrt","tt_ln1_unscale","inv std s1 intermediate tensor","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"31","inv_std1","tt_ln1_unscale","tt_ln1_xhat;tt_lnb1_invd","LayerNorm1 inverse standard deviation","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"32","xhat1","tt_ln1_xhat","tt_ln1_gamma;tt_lnb1_prod;tt_lnb1_xsum;tt_lnb1_dyx","LayerNorm1 normalized input","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"33","xhat_g1","tt_ln1_gamma","tt_ln1_beta","xhat g1 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"34","ln1","tt_ln1_beta","tt_q;tt_k;tt_v;tt_dwq;tt_dwk;tt_dwv","LayerNorm1 output","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"35","q","tt_q","tt_scores;tt_dkr","query projection","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"36","k","tt_k","tt_scores;tt_dqr","key projection","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"37","v","tt_v","tt_context;tt_dp","value projection","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"38","scores","tt_scores","tt_scale_scores","attention scores","8x8","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"39","scaled_scores","tt_scale_scores","tt_mask_scores","scaled scores intermediate tensor","8x8","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"40","masked_scores","tt_mask_scores","tt_softmax","masked scores intermediate tensor","8x8","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"41","probabilities","tt_softmax","tt_context;tt_dv;tt_smp;tt_ds","attention probabilities","8x8","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"42","context","tt_context","tt_project;tt_dwo","attention context","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"43","projected","tt_project","tt_res1","projected intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"44","residual1","tt_res1","tt_ln2_mean;tt_ln2_center;tt_out","post-attention residual","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"45","mean2","tt_ln2_mean","tt_ln2_center","LayerNorm2 forward mean","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"46","centered2","tt_ln2_center","tt_ln2_center_scale;tt_ln2_xhat","centered2 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"47","centered_s2","tt_ln2_center_scale","tt_ln2_square;tt_ln2_square","centered s2 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"48","square2","tt_ln2_square","tt_ln2_var","square2 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"49","var2","tt_ln2_var","tt_ln2_eps","LayerNorm2 forward variance","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"50","var_eps2","tt_ln2_eps","tt_ln2_rsqrt","var eps2 intermediate tensor","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"51","inv_std_s2","tt_ln2_rsqrt","tt_ln2_unscale","inv std s2 intermediate tensor","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"52","inv_std2","tt_ln2_unscale","tt_ln2_xhat;tt_lnb2_invd","LayerNorm2 inverse standard deviation","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"53","xhat2","tt_ln2_xhat","tt_ln2_gamma;tt_lnb2_prod;tt_lnb2_xsum;tt_lnb2_dyx","LayerNorm2 normalized input","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"54","xhat_g2","tt_ln2_gamma","tt_ln2_beta","xhat g2 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"55","ln2","tt_ln2_beta","tt_ff1;tt_dw1","LayerNorm2 output","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"56","ff1","tt_ff1","tt_relu;tt_relu_mask","FFN W1 output","8x32","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"57","relu","tt_relu","tt_ff2;tt_dw2","FFN activation","8x32","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"58","ff2","tt_ff2","tt_out","FFN W2 output","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"59","output","tt_out","lm_logits;lm_doutput_projection","transformer output","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"60","error","not_produced_in_language_model","","error intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"61","squared_error","not_produced_in_language_model","","squared error intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"62","loss","not_produced_in_language_model","","loss intermediate tensor","1x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"63","doutput","lm_doutput","tt_dw2;tt_drelu;tt_dres1","upstream transformer-output gradient","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"64","gradient_w2","tt_dw2","tt_w2_scale","FFN W2 gradient","32x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"65","drelu","tt_drelu","tt_relu_bwd","FFN activation gradient","8x32","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"66","relu_mask","tt_relu_mask","tt_relu_bwd","FFN activation mask","8x32","BOOL8","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"67","dff1","tt_relu_bwd","tt_dw1;tt_dln2","FFN W1-output gradient","8x32","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"68","gradient_w1","tt_dw1","tt_w1_scale","FFN W1 gradient","16x32","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"69","dln2","tt_dln2","tt_lnb2_dxhat;tt_lnb2_dyx;tt_lnb2_db","LayerNorm2 upstream gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"70","dxhat2","tt_lnb2_dxhat","tt_lnb2_sum;tt_lnb2_prod;tt_lnb2_ddx","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"71","sum_dxhat2","tt_lnb2_sum","tt_lnb2_first","sum dxhat2 intermediate tensor","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"72","dxhat_xhat2","tt_lnb2_prod","tt_lnb2_sumprod","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"73","dy_xhat2","tt_lnb2_dyx","tt_lnb2_dg","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"74","sum_dxhat_xhat2","tt_lnb2_sumprod","tt_lnb2_xsum","sum dxhat xhat2 intermediate tensor","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"75","d_times_dxhat2","tt_lnb2_ddx","tt_lnb2_first","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"76","first_diff2","tt_lnb2_first","tt_lnb2_bracket","first diff2 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"77","xhat_times_sum2","tt_lnb2_xsum","tt_lnb2_bracket","xhat times sum2 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"78","bracket2","tt_lnb2_bracket","tt_lnb2_dx","bracket2 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"79","inv_std_over_d2","tt_lnb2_invd","tt_lnb2_dx","inv std over d2 intermediate tensor","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"80","dresidual1_ln","tt_lnb2_dx","tt_dres1","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"81","gradient_gamma2","tt_lnb2_dg","tt_g2_scale","LayerNorm2 gamma gradient","16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"82","gradient_beta2","tt_lnb2_db","tt_b2_scale","LayerNorm2 beta gradient","16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"83","dresidual1","tt_dres1","tt_dwo;tt_dcontext;lm_dinput","residual1 gradient","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","BACKWARD_REGIONS tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"84","gradient_wo","tt_dwo","tt_wo_scale","attention output weight gradient","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"85","dcontext","tt_dcontext","tt_dp;tt_dv","attention context gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"86","dprobabilities","tt_dp","tt_smp;tt_smc","attention probability gradient","8x8","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","DPROB_DSCORES tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"87","dv","tt_dv","tt_dwv;tt_dlv","value projection gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"88","softmax_product","tt_smp","tt_smd","softmax product intermediate tensor","8x8","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"89","softmax_dot","tt_smd","tt_smc","softmax dot intermediate tensor","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"90","softmax_centered","tt_smc","tt_ds","softmax centered intermediate tensor","8x8","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"91","dscores","tt_ds","tt_dqr;tt_dkr","attention score gradient","8x8","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","DSCORES_ONLY|DPROB_DSCORES|BACKWARD_REGIONS tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"92","dq_raw","tt_dqr","tt_dq","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"93","dk_raw","tt_dkr","tt_dk","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"94","dq","tt_dq","tt_dwq;tt_dlq","query projection gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"95","dk","tt_dk","tt_dwk;tt_dlk","key projection gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"96","gradient_wq","tt_dwq","tt_wq_scale","query weight gradient","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"97","gradient_wk","tt_dwk","tt_wk_scale","key weight gradient","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"98","gradient_wv","tt_dwv","tt_wv_scale","value weight gradient","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"99","dln1_q","tt_dlq","tt_dlqk","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"100","dln1_k","tt_dlk","tt_dlqk","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"101","dln1_v","tt_dlv","tt_dln1","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"102","dln1_qk","tt_dlqk","tt_dln1","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"103","dln1","tt_dln1","tt_lnb1_dxhat;tt_lnb1_dyx;tt_lnb1_db","LayerNorm1 upstream gradient","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","BACKWARD_REGIONS|LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"104","dxhat1","tt_lnb1_dxhat","tt_lnb1_sum;tt_lnb1_prod;tt_lnb1_ddx","backward intermediate gradient","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"105","sum_dxhat1","tt_lnb1_sum","tt_lnb1_first","sum dxhat1 intermediate tensor","8x1","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"106","dxhat_xhat1","tt_lnb1_prod","tt_lnb1_sumprod","backward intermediate gradient","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"107","dy_xhat1","tt_lnb1_dyx","tt_lnb1_dg","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"108","sum_dxhat_xhat1","tt_lnb1_sumprod","tt_lnb1_xsum","sum dxhat xhat1 intermediate tensor","8x1","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"109","d_times_dxhat1","tt_lnb1_ddx","tt_lnb1_first","backward intermediate gradient","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"110","first_diff1","tt_lnb1_first","tt_lnb1_bracket","first diff1 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"111","xhat_times_sum1","tt_lnb1_xsum","tt_lnb1_bracket","xhat times sum1 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"112","bracket1","tt_lnb1_bracket","tt_lnb1_dx","bracket1 intermediate tensor","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"113","inv_std_over_d1","tt_lnb1_invd","tt_lnb1_dx","inv std over d1 intermediate tensor","8x1","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
